"Alabama","Apalachicola","Big.Black","Blackwater","Bon.Secour","Chipola","Conecuh","Econfina","Fowl","Hatchie","Jourdan","Magnolia","Neches","Ochlockonee","Pascagoula","Pearl","Perdido","Red","Sabine","San.Jacinto","Sulphur","Suwannee","Tombigbee","Trinity","Yazoo"
"1",NA,0.627975246624894,0.535363541408459,NA,0.152640007351291,NA,0.5263022462043,0.755897323113704,0.15265829503327,0.658420464590444,NA,0.0955027901853057,0.576109742848,0.722726699002092,0.418873770978983,0.526032420892755,0.471866188437559,NA,0.58314450564615,0.569576035352791,0.628700791991585,0.831111250031916,0.156003911880183,0.570428373521519,0.547921657949229
"2",0.627975246624894,NA,0.61001905027755,NA,0.604413496256,NA,0.554031637622826,0.378955651372398,0.641527994372896,0.694762219866542,NA,0.500679755361302,0.632761284573048,0.167622092531255,0.596218666557004,0.611640420101067,0.578873860091853,NA,0.639097301696378,0.625715332366027,0.672711733171431,0.697001816426672,0.633885165217903,0.626707762019947,0.618382807160596
"3",0.535363541408459,0.61001905027755,NA,NA,0.511162849111363,NA,0.526268425714785,0.71411033549276,0.554076722227922,0.230277431182155,NA,0.391528023659166,0.334936829424693,0.69066978914212,0.426802997632893,0.324322605101664,0.524170399872505,NA,0.350367701503347,0.345055209103215,0.17712275688789,0.793987736248355,0.543999880650544,0.371448107638589,0.0197236003812985
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.152640007351291,0.604413496256,0.511162849111363,NA,NA,NA,0.487628019615093,0.72874289708038,0.196110125384468,0.633131989629509,NA,0.0431563831579029,0.554463729227702,0.702875545123397,0.395720968599833,0.500167372006756,0.423394105180809,NA,0.560855065103459,0.546012553228116,0.602860884644088,0.810854345054042,0.172249730543608,0.54759446019861,0.523627455654845
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.5263022462043,0.554031637622826,0.526268425714785,NA,0.487628019615093,NA,NA,0.672816376063169,0.54421112384672,0.635058879104675,NA,0.30888494709932,0.561837047386332,0.647953369677978,0.49997126202878,0.524067938933906,0.400544398012795,NA,0.565332544560448,0.555374784106406,0.609228362851829,0.778515580763385,0.537006906876828,0.555815709125415,0.538441060569516
"8",0.755897323113704,0.378955651372398,0.71411033549276,NA,0.72874289708038,NA,0.672816376063169,NA,0.769952684856117,0.801812745392067,NA,0.617232083067047,0.739167935470843,0.535738218388113,0.713815793583075,0.730182133855239,0.692735756086764,NA,0.743464711837113,0.729100804734647,0.780534607823413,0.841406523385503,0.757216806910837,0.732957003765711,0.720463748337936
"9",0.15265829503327,0.641527994372896,0.554076722227922,NA,0.196110125384468,NA,0.54421112384672,0.769952684856117,NA,0.677064481552526,NA,0.120894000841333,0.593012924366205,0.739069540461397,0.444488549648858,0.543804968771333,0.487054190173053,NA,0.5994048261494,0.58587497225857,0.645274174132259,0.846311016461587,0.182503898468716,0.58575799098673,0.564965012972379
"10",0.658420464590444,0.694762219866542,0.230277431182155,NA,0.633131989629509,NA,0.635058879104675,0.801812745392067,0.677064481552526,NA,NA,0.511356715715386,0.478247441320683,0.776004623879383,0.557537251048262,0.50322064926316,0.639195655618059,NA,0.491974309779977,0.492179909962522,0.331809381526212,0.86978853371164,0.668262325855263,0.508763248469871,0.200399499491601
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",0.0955027901853057,0.500679755361302,0.391528023659166,NA,0.0431563831579029,NA,0.30888494709932,0.617232083067047,0.120894000841333,0.511356715715386,NA,NA,0.438140186993426,0.597376362842191,0.285781348736169,0.378972674387167,0.198551643052373,NA,0.442299311528727,0.430655088995288,0.483681195775568,0.723872191538586,0.102527950616082,0.433065601341055,0.405001054249501
"13",0.576109742848,0.632761284573048,0.334936829424693,NA,0.554463729227702,NA,0.561837047386332,0.739167935470843,0.593012924366205,0.478247441320683,NA,0.438140186993426,NA,0.715283282315681,0.478023668857595,0.475245595820716,0.564446079242493,NA,0.0681224203616086,0.290090794315366,0.394120236392786,0.81017833592074,0.584826024191011,0.267773701836079,0.343482141654327
"14",0.722726699002092,0.167622092531255,0.69066978914212,NA,0.702875545123397,NA,0.647953369677978,0.535738218388113,0.739069540461397,0.776004623879383,NA,0.597376362842191,0.715283282315681,NA,0.683268536622704,0.697568365819971,0.677468475484847,NA,0.720327910326317,0.708082347476543,0.756180400156794,0.793007705133724,0.728093904924831,0.708826001689828,0.697972395263721
"15",0.418873770978983,0.596218666557004,0.426802997632893,NA,0.395720968599833,NA,0.49997126202878,0.713815793583075,0.444488549648858,0.557537251048262,NA,0.285781348736169,0.478023668857595,0.683268536622704,NA,0.393317433979391,0.491930660483791,NA,0.489276464176137,0.468216209609226,0.534205191871113,0.786062433557878,0.434752368223979,0.46994924800383,0.440439316748955
"16",0.526032420892755,0.611640420101067,0.324322605101664,NA,0.500167372006756,NA,0.524067938933906,0.730182133855239,0.543804968771333,0.50322064926316,NA,0.378972674387167,0.475245595820716,0.697568365819971,0.393317433979391,NA,0.523505184296231,NA,0.485945083524962,0.458262748189607,0.49624739765702,0.801957051282803,0.532724497284119,0.469405466794914,0.347108772532805
"17",0.471866188437559,0.578873860091853,0.524170399872505,NA,0.423394105180809,NA,0.400544398012795,0.692735756086764,0.487054190173053,0.639195655618059,NA,0.198551643052373,0.564446079242493,0.677468475484847,0.491930660483791,0.523505184296231,NA,NA,0.570485471573832,0.554867318320331,0.611703815189323,0.795721105796636,0.472063742673164,0.557083593700467,0.534702662598529
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",0.58314450564615,0.639097301696378,0.350367701503347,NA,0.560855065103459,NA,0.565332544560448,0.743464711837113,0.5994048261494,0.491974309779977,NA,0.442299311528727,0.0681224203616086,0.720327910326317,0.489276464176137,0.485945083524962,0.570485471573832,NA,NA,0.307797282298087,0.41660067844208,0.815064375600354,0.591626501081717,0.280516336961588,0.359200894038748
"20",0.569576035352791,0.625715332366027,0.345055209103215,NA,0.546012553228116,NA,0.555374784106406,0.729100804734647,0.58587497225857,0.492179909962522,NA,0.430655088995288,0.290090794315366,0.708082347476543,0.468216209609226,0.458262748189607,0.554867318320331,NA,0.307797282298087,NA,0.426120864065722,0.808760800936794,0.579005196286582,0.0406093970316335,0.352505699556962
"21",0.628700791991585,0.672711733171431,0.17712275688789,NA,0.602860884644088,NA,0.609228362851829,0.780534607823413,0.645274174132259,0.331809381526212,NA,0.483681195775568,0.394120236392786,0.756180400156794,0.534205191871113,0.49624739765702,0.611703815189323,NA,0.41660067844208,0.426120864065722,NA,0.853315595582147,0.635944706868716,0.448976984646078,0.163588660516929
"22",0.831111250031916,0.697001816426672,0.793987736248355,NA,0.810854345054042,NA,0.778515580763385,0.841406523385503,0.846311016461587,0.86978853371164,NA,0.723872191538586,0.81017833592074,0.793007705133724,0.786062433557878,0.801957051282803,0.795721105796636,NA,0.815064375600354,0.808760800936794,0.853315595582147,NA,0.835075509889571,0.809112097404826,0.801188264644314
"23",0.156003911880183,0.633885165217903,0.543999880650544,NA,0.172249730543608,NA,0.537006906876828,0.757216806910837,0.182503898468716,0.668262325855263,NA,0.102527950616082,0.584826024191011,0.728093904924831,0.434752368223979,0.532724497284119,0.472063742673164,NA,0.591626501081717,0.579005196286582,0.635944706868716,0.835075509889571,NA,0.579369725802356,0.555117033487883
"24",0.570428373521519,0.626707762019947,0.371448107638589,NA,0.54759446019861,NA,0.555815709125415,0.732957003765711,0.58575799098673,0.508763248469871,NA,0.433065601341055,0.267773701836079,0.708826001689828,0.46994924800383,0.469405466794914,0.557083593700467,NA,0.280516336961588,0.0406093970316335,0.448976984646078,0.809112097404826,0.579369725802356,NA,0.379534788562943
"25",0.547921657949229,0.618382807160596,0.0197236003812985,NA,0.523627455654845,NA,0.538441060569516,0.720463748337936,0.564965012972379,0.200399499491601,NA,0.405001054249501,0.343482141654327,0.697972395263721,0.440439316748955,0.347108772532805,0.534702662598529,NA,0.359200894038748,0.352505699556962,0.163588660516929,0.801188264644314,0.555117033487883,0.379534788562943,NA
