pop,ind,dummypop
San Jacinto,MATE094,dummypop
San Jacinto,MATE096,dummypop
Red,MATE113,dummypop
Pearl,MATE130,dummypop
Pearl,MATE132,dummypop
Yazoo,MATE136,dummypop
Yazoo,MATE139,dummypop
Yazoo,MATE150,dummypop
Yazoo,MATE151,dummypop
Big Black,MATE154,dummypop
Big Black,MATE155,dummypop
Pearl,MATE166,dummypop
Big Black,MATE168,dummypop
Big Black,MATE169,dummypop
Hatchie,MATE178,dummypop
Hatchie,MATE179,dummypop
Hatchie,MATE180,dummypop
Neches,MATE187,dummypop
Neches,MATE188,dummypop
Neches,MATE192,dummypop
Neches,MATE194,dummypop
Neches,MATE202,dummypop
Neches,MATE203,dummypop
Trinity,MATE209,dummypop
Trinity,MATE211,dummypop
Sabine,MATE217,dummypop
Sabine,MATE219,dummypop
Sulphur,MATE224,dummypop
Sulphur,MATE225,dummypop
Sulphur,MATE226,dummypop
Sabine,MATE229,dummypop
Sabine,MATE230,dummypop
Trinity,MATE233,dummypop
Trinity,MATE236,dummypop
Trinity,MATE237,dummypop
Trinity,MATE238,dummypop
San Jacinto,MATE240,dummypop
San Jacinto,MATE241,dummypop
Neches,MATE242,dummypop
Neches,MATE243,dummypop
Sulphur,MATE247,dummypop
San Jacinto,MATE248,dummypop
Sabine,MATE250,dummypop
Sabine,MATE251,dummypop
Trinity,MATE252,dummypop
Bon Secour,MATE253,dummypop
Bon Secour,MATE254,dummypop
Fowl,MATE256,dummypop
Fowl,MATE257,dummypop
Magnolia,MATE259,dummypop
Magnolia,MATE260,dummypop
Alabama,MATE268,dummypop
Alabama,MATE269,dummypop
Perdido,MATE272,dummypop
Perdido,MATE273,dummypop
Conecuh,MATE277,dummypop
Conecuh,MATE279,dummypop
Magnolia,MATE282,dummypop
Perdido,MATE298,dummypop
Pascagoula,MATE316,dummypop
Pascagoula,MATE317,dummypop
Pascagoula,MATE319,dummypop
Pascagoula,MATE320,dummypop
Pascagoula,MATE325,dummypop
Pascagoula,MATE329,dummypop
Pascagoula,MATE330,dummypop
Tombigbee,MATE336,dummypop
Tombigbee,MATE337,dummypop
Yazoo,MATE346,dummypop
Yazoo,MATE347,dummypop
Jourdan,MATE351,dummypop
Blackwater,MATE436,dummypop